iter	Passed	Remaining
909	53662	5307
910	53721	5248
911	53776	5188
912	53819	5128
913	53868	5068
914	53913	5008
915	53953	4947
916	53993	4887
917	54036	4826
918	54084	4766
919	54129	4706
920	54186	4647
921	54234	4588
922	54274	4527
923	54310	4467
924	54363	4407
925	54418	4348
926	54464	4289
927	54514	4229
928	54559	4169
929	54608	4110
930	54659	4051
931	54702	3991
932	54745	3931
933	54798	3872
934	54843	3812
935	54887	3753
936	54929	3693
937	54974	3633
938	55021	3574
939	55062	3514
940	55110	3455
941	55153	3395
942	55193	3336
943	55232	3276
944	55285	3217
945	55337	3158
946	55379	3099
947	55422	3040
948	55471	2981
949	55526	2922
950	55587	2864
951	55680	2807
952	55865	2755
953	56052	2702
954	56204	2648
955	56291	2590
956	56396	2534
957	56449	2474
958	56498	2415
959	56552	2356
960	56612	2297
961	56698	2239
962	56852	2184
963	56925	2125
964	56980	2066
965	57064	2008
966	57114	1949
967	57182	1890
968	57251	1831
969	57333	1773
970	57710	1723
971	57967	1669
972	58105	1612
973	58188	1553
974	58279	1494
975	58344	1434
976	58413	1375
977	58686	1320
978	58818	1261
979	58870	1201
980	58930	1141
981	58979	1081
982	59025	1020
983	59076	960
984	59121	900
985	59186	840
986	59252	780
987	59310	720
988	59375	660
989	59433	600
990	59481	540
991	59522	480
992	59562	419
993	59602	359
994	59640	299
995	59683	239
996	59721	179
997	59762	119
998	59794	59
999	59834	0
